Census Tract,Loan Amount
21111009106,245000
21111011520,165000
21111009400,185000
21111011711,235000
21111011601,365000
21111012409,55000
21111011110,185000
21111009700,185000
21111011708,185000
21111011709,205000
21111011506,255000
21111011003,175000
21111012501,125000
21111011708,255000
21111011708,265000
21111011709,265000
21111003900,125000
21111005000,225000
21111011003,225000
21111010307,335000
21111008200,595000
21111012106,205000
21111013100,155000
21111009400,165000
21111011516,255000
21111012411,195000
21111011505,205000
21111009900,375000
21111011112,245000
21111010311,325000
21111012701,185000
21111010602,215000
21111011505,225000
21111011111,255000
21111010316,325000
21111012502,195000
21111011519,205000
21111010318,405000
21111012003,145000
21111012503,145000
21111012702,195000
21111004100,145000
21111011707,205000
21111010315,435000
21111004500,95000
21111012703,195000
21111012408,135000
21111012603,135000
21111011405,125000
21111011302,145000
21111012001,245000
21111011601,685000
21111003800,115000
21111012409,135000
21111011109,245000
21111011112,155000
21111000300,115000
21111011505,175000
21111007502,185000
21111011102,255000
21111012407,175000
21111012204,185000
21111007601,365000
21111011907,185000
21111012106,275000
21111011111,135000
21111011707,155000
21111012502,115000
21111011519,215000
21111000200,55000
21111004600,115000
21111011709,115000
21111003800,55000
21111011907,85000
21111011110,155000
21111011111,85000
21111005200,145000
21111011601,485000
21111006600,165000
21111011707,85000
21111011519,115000
21111012002,165000
21111012204,185000
21111010319,185000
21111010307,305000
21111010402,285000
21111012701,145000
21111006900,145000
21111011709,255000
21111011110,265000
21111011516,105000
21111011004,165000
21111010007,165000
21111011506,115000
21111012407,155000
21111011505,235000
21111011708,205000
21111011506,145000
21111012301,155000
21111008400,345000
21111010601,515000
21111011709,185000
21111011513,205000
21111010702,245000
21111010315,465000
21111011516,145000
21111011710,125000
21111011603,305000
21111011710,245000
21111012409,55000
21111011711,175000
21111011711,195000
21111012204,215000
21111010706,225000
21111011711,285000
21111011711,215000
21111012105,245000
21111012503,145000
21111011508,255000
21111011110,185000
21111010307,265000
21111010307,385000
21111012202,315000
21111008100,215000
21111009900,275000
21111011110,275000
21111010312,265000
21111003900,95000
21111011301,45000
21111010402,145000
21111011110,105000
21111011907,165000
21111010307,505000
21111010320,245000
21111011907,175000
21111010318,155000
21111011514,185000
21111011200,165000
21111012105,205000
21111012204,195000
21111012407,165000
21111011509,145000
21111012503,135000
21111000900,75000
21111012703,125000
21111010402,235000
21111011711,125000
21111010307,255000
21111011516,175000
21111013100,165000
21111012502,145000
21111011905,135000
21111012604,85000
21111012107,145000
21111011709,325000
21111011508,205000
21111012406,105000
21111010005,145000
21111011706,125000
21111008700,305000
21111009000,75000
21111009000,285000
21111011405,195000
21111011709,155000
21111009000,125000
21111012407,215000
21111007800,175000
21111011004,195000
21111010104,265000
21111012409,125000
21111011517,205000
21111012203,185000
21111011505,195000
21111009300,235000
21111012302,155000
21111009300,325000
21111010702,185000
21111012409,75000
21111012105,95000
21111004400,65000
21111010706,335000
21111011514,145000
21111011114,225000
21111010403,195000
21111007100,105000
21111011514,235000
21111011712,55000
21111010701,205000
21111010701,55000
21111001100,25000
21111011508,125000
21111010320,55000
21111012107,185000
21111011406,125000
21111007501,355000
21111012703,75000
21111011517,155000
21111012701,125000
21111011904,95000
21111009700,55000
21111007800,235000
21111009600,115000
21111012604,95000
21111011516,25000
21111011109,255000
21111012406,185000
21111010007,355000
21111012802,135000
21111011516,155000
21111011904,155000
21111006900,175000
21111012604,135000
21111009900,125000
21111003800,155000
21111011106,215000
21111010307,345000
21111003900,125000
21111012002,175000
21111009105,195000
21111011514,265000
21111012702,145000
21111011710,175000
21111009105,195000
21111012502,175000
21111011707,215000
21111012107,155000
21111010402,305000
21111011904,125000
21111011516,175000
21111010602,135000
21111012701,115000
21111011519,225000
21111007900,225000
21111012203,175000
21111010309,335000
21111011519,195000
21111011712,165000
21111010403,905000
21111010320,25000
21111010307,155000
21111011708,255000
21111001200,15000
21111007400,55000
21111012202,115000
21111006900,205000
21111011513,155000
21111012407,185000
21111010500,205000
21111007602,145000
21111011603,265000
21111010406,115000
21111010102,315000
21111011517,135000
21111006500,145000
21111010316,135000
21111010315,205000
21111010307,385000
21111011002,235000
21111005600,75000
21111009300,185000
21111012301,135000
21111010001,185000
21111006800,195000
21111011113,145000
21111011513,155000
21111010001,275000
21111011513,205000
21111009000,125000
21111011706,185000
21111010314,235000
21111010406,195000
21111011513,145000
21111011506,175000
21111012410,225000
21111011102,215000
21111010406,545000
21111011513,145000
21111011601,285000
21111011004,235000
21111011106,165000
21111010319,185000
21111004400,245000
21111012411,185000
21111012103,155000
21111012601,125000
21111012703,155000
21111011506,235000
21111011707,225000
21111011110,315000
21111012104,95000
21111012406,175000
21111012406,135000
21111003600,145000
21111011102,195000
21111012104,125000
21111011506,225000
21111010406,155000
21111013100,295000
21111012002,145000
21111011519,185000
21111011603,325000
21111010102,505000
21111007501,245000
21111012103,185000
21111011707,165000
21111012502,235000
21111011709,155000
21111011707,145000
21111011601,505000
21111011519,245000
21111011907,235000
21111012302,175000
21111011514,215000
21111011905,155000
21111011907,115000
21111010005,145000
21111011515,165000
21111010008,225000
21111010706,195000
21111010316,445000
21111010601,175000
21111012604,135000
21111010402,85000
21111011508,115000
21111011404,115000
21111011601,305000
21111011404,105000
21111010311,195000
21111010311,105000
21111010901,125000
21111010602,215000
21111010602,235000
21111007800,355000
21111000700,45000
21111010314,295000
21111011709,285000
21111011520,545000
21111010316,395000
21111012703,75000
21111012703,105000
21111012604,85000
21111012502,145000
21111010705,175000
21111012002,165000
21111010706,285000
21111012001,85000
21111012408,125000
21111010312,185000
21111011404,155000
21111010314,305000
21111011404,125000
21111011711,245000
21111011114,255000
21111012002,145000
21111011711,145000
21111012703,255000
21111011109,155000
21111011505,75000
21111008200,305000
21111011102,135000
21111010307,305000
21111011514,155000
21111011505,185000
21111012503,245000
21111010307,205000
21111012411,185000
21111012603,105000
21111012407,205000
21111004302,125000
21111012502,175000
21111010307,305000
21111012603,95000
21111012203,225000
21111012406,165000
21111010005,195000
21111011516,155000
21111011711,215000
21111012502,165000
21111011518,265000
21111012406,125000
21111011508,195000
21111011708,265000
21111003800,125000
21111012603,195000
